C.L. Prosser Co Ltd|Normanby Wharf. TS3 8AS|GBAUMIDMIDNMB|No
C.RO Ports Killingholme Limited|Killingholme Terminal, Clough Lane, North Killingholme, N E Lincolnshire. DN40 3JP|GBAUNKHIMMNKH|No
C.Ro Ports London Limited|GBAUPFTLONPFT|No
Calor Gas Ltd|Calor Gas Jetty, Canvey Terminal, Thames Road, Canvey Island, Essex. SS8 0HR|GBAUCANLONCAL|No
Canterbury City Council|Whitstable Harbour. CT5 1AP|GBAUWTSWTSWTS|No
Cargill Plc|Cerestar Wharf, Manchester Ship Canal. M17 1PA|GBAUSFDMNCCSR|No
Castletown Harbour Isle of Man|The Quay, Castletown, Isle of Man. IM9 1LD|IMAUCSWDGSCSW|No
Cattedown Wharf Limited|Cattedown wharf, Cattedown Road, Cattedown, Plymouth. PL4 0RP|GBAUPLYPLYCDW|No
CEMEX|No 8 Jetty, Dagenham Dock Estate, Choats Road, Dagenham. RM9 6RJ|GBAUDAGLONCMX|No
Cemex UK Ltd|South Dock, Newport Cement Terminal, Newport. NP20 2NQ|GBAUNPTNPTCXW|No
CEMEX UK Operations Limited|Raynes Jetty, Raynes Quarry, Abergale Road, Llysfaen, Colwyn Bay. LL29 9YW|GBAUCYYHLDCYY|No
Civil and Marine Limited (Trading as Hanson Cement)|Purfleet Jetty, London Road, Essex. RM20 3NL|GBAUPFTLONCMJ|No
Cleveland Potash Limited|Quay 1, Potash Terminal, Tees Dock, Grangetown, Middlesbrough, Cleveland. TS6 6UD|GBAUTEEMIDQPT|No
Cloghan Point (Holdings) Ltd|The Oil Terminal, Quay Lane, Whitehead, Co Antrim. BT38 9SS|GBAUANTBELTCH|Yes
Clydeport Operations Limited|Glasgow King George V Dock - Riverside Berth, Glasgow. G51 4SD|GBAUGLWGLWGRB|No
Clydeport Operations Limited|King George V Dock, Govan, Glasgow. G51 4SD|GBAUGLWGLWGLW|No
Clydeport Operations Limited|Greenock Ocean Terminal, Patrick Street, Greenock. PA16 8UU|GBAUGRKGRKGRK|No
Clydeport Operations Ltd|Inchgreen Dock, Glasgow. PA14 5DG|GBAUGLWGLWIGD|No
Clydeport Operations Ltd|Hunterstown Terminal, Largs. KA29 0AZ|GBAULGSGRKLGS|No
Coleraine Harbour Commissioners|Coleraine Harbour, 4 Riversdale Road, Coleraine. BT52 1XA|GBAUCLRCLRCLR|Yes
Condor Ferries|No 5 Berth, Continental Ferry Port, George Byng Way, Portsmouth, Hampshire. PO2 8SP|GBAUPMEPTMSID1|No
Condor Ferrries|New Harbour Road, Hamworthy, Poole, Dorset. BH15 4AJ|GBAUPOOPOOPLO|No
Condor Ferrries|Port of Poole, New Harbour Road, Hamworthy, Poole. BH15 4AJ|GBAUPOOPOOPOP2|No
ConocoPhillips (U.K.) Teesside Operator Limited|GBAUXSSMIDEKO|No
Cromarty Firth Port Authority|Saltburn Pier and Invergordon Service Base, Shore Road, Invergordon. IV18 0HD|GBAUIVGIVGIVG|No
Cumbria County Council|Port of Workington, Dock Office, Prince of Wales Dock, Workington. CA14 2JH|GBAUWORWORWOR|No
Denholm Port Services Ltd|GBAUABDABDADP|No
DFDS Seaways|South Osborne Way, off western access road, Immingham Docks, Immingham. DN40 2QA|GBAUIMMIMMDDI|No
Douglas Harbour IoM|Sea Terminal Building, Douglas, Isle of Man. IM1 2RF|IMAUDGSDGSDGS|No
Dover Harbour Board|Admiralty Pier Cruise Berth, Cruise Terminals 1 & 2 and Cargo berths, Western Docks, Dover. CT17 9BU|GBAUDVRDOVAPC|No
Dover Harbour Board|Eastern Docks and Cargo Terminal, Dover. CT17 9BU|GBAUDVRDOVDVR|No
Doyle Shipping Group (DSG) Belfast Ltd|101 Airport Road West, Belfast, BT3 9ED|GBAUOYTBELVLJ1|Yes
Dragon LNG Limited|GBAUMLFMILDRA|No
Dudman (Lowestoft) Limited|Silo Quay, Commerical Road, North Quay, Lowestoft, Suffolk. NR32 2TE|GBAULOWLOWLNQ|No
ELG Haniel Metals Ltd|12-14 River Road, Barking. IG11 0DG|GBAUBKGLONALX|No
EPC United Kingdom PLC|GBAUGOAHRHGOA|No
Esprit Warehousing Limited|Dry Dock No. 1, Drydock Estate, Trafford Wharf Road, Trafford Park, Manchester. M17 1HA|GBAUSFDMNCDD1|No
Essar Oil|Essar Oil North and South Jetty, Tranmere, Wirral. CH42 1QN|GBAUPNOLIVEOT|No
Essar Oil (UK) Limited|Stanlow Manufacturing Complex, Ellesmere Port, Cheshire. CH65 4HB|GBAUELLLIVESO|No
Essex Cement Limited|Shipyard Estate, Waterside, Brightlingsea. CO7 0AR|GBAUBLSCOLBOW|No
Esso Petroleum Company Limited|GBAUFAWSTNFAW|No
Esso Petroleum Company Limited|Number 1 Jetty, Purfleet Fuels Terminal, London Road, Purfleet, Essex. RM19 1RS|GBAUPFTLONESS|No
European Metal Recycling Ltd|Dowlais Wharf, Roath Dock, Cardiff. CF10 4ED|GBAUCDFCDFDWL|No
European Metal Recycling Ltd|Barclay Curle Engine Wharf, Glasgow. L20 1BX|GBAUGLWGLWBCW|No
European Metal Recycling Ltd|Kings Wharf, South Quay, Great Yarmouth, Norfolk. NR30 3LD|GBAUGTYGTYKGF|No
European Metal Recycling Ltd|Egypt Wharf, Brighton Road, Shoreham-by-Sea. BN43 6RN|GBAUESHSHOEGY|No
European Metal Recycling Ltd|Kingston Wharf West, Brighton Road, Shoreham-by-Sea. BN43 6RN|GBAUESHSHOKWW|No
European Metal Recycling Ltd|Princes Wharf, Princes Street, Northam, Southampton. SO15 5RP|GBAUSOUSTNPWS|No
Exolum Riverside Limited|Billingham Reach and Oil Jetties, Simon Riverside Terminal. TS23 1PX|GBAUBHWMIDBRO|No
Exolum Seal Sands Limited|GBAUXSSMIDITT|No
Exolum Storage UK Limited|Jetties 1 & 2 Grays Terminal, London Road, West Thurrock. RM17 5YU|GBAUGYSLONNST|No
Exolum Storage UK Limited|Rothesay Dock, Clydebank, Glasgow. G81 1YA|GBAUCLYGLWRTH|No
ExxonMobil Chemical Limited|Exxon Ethylene Jetty (P40), Braefoot Bay Marine Terminal, Cowdenbeath, Fife. KY4 8EL|GBAUBFBGRGP40|No
Falmouth Petroleum Ltd|The Docks, Falmouth. TR11 4NR|GBAUFALFALFAL|No
Felixstowe Dock & Railway Company T/A Port of Felixstowe|GBAUFXTFXTFXT|No
Ferguson Transport (Spean Bridge) Limited|Kishorn Port, Kishorn Base, Kishorn, Lochcarron. IV54 8XA|GBAUKISINVKPW|No
Finsa UK Ltd|Duke Street, Vittoria Wharf, East Float, Birkenhead. CH41 1EY|GBAUBRKLIVTFI|No
First Corporate TA Bristol Port Company|Avonmouth - Royal Edward Dock X Berth, Bristol. BS11 9DQ|GBAUAVOAVOCSX|No
First Corporate TA Bristol Port Company|St Andrews House, St Andrews Road, Avonmouth, Bristol. BS11 9DQ|GBAUAVOAVOAVO|No
First Corporate TA Bristol Port Company|Bristol - Royal Portbury Dock, Bristol. BS11 9DQ|GBAUAVOAVOAVO2|No
